SITE_NAME,AVG_DAILY_CONSUMPTION
0376KO,6.881%
0377BB,2.128%
0377BR,34.411%
0377KO,3.061%
0378BB,9.271%
0378BR,20.249%
0378KO,13.730%
0379BB,6.744%
0379BR,61.997%
0379KO,5.628%
0380BB,0.235%
0380BR,15.648%
0380KO,4.192%
0381BB,2.749%
0381BR,39.679%
0381KO,3.028%
0382BB,9.965%
0382BR,7.868%
0382KO,20.695%
0383BB,11.111%
0383BR,8.245%
0383KO,8.200%
0384BB,2.516%
0384BR,21.935%
0384KO,9.149%
0385BB,13.483%
0385BR,26.650%
0385KO,14.633%
0386BB,9.381%
0386BR,30.388%
0386KO,65.004%
0387KO,4.893%
0388BB,3.506%
0388BR,29.484%
0388KO,8.804%
0389BB,2.331%
0389BR,5.420%
0389KO,2.832%
0390BB,2.234%
0390BR,13.197%
0390KO,7.787%
0391BB,6.095%
0391BR,27.644%
0391KO,20.529%
0392BB,3.090%
0392BR,16.079%
0392KO,10.519%
0393BB,5.915%
0393BR,10.304%
0393KO,18.025%
0394BB,18.868%
0394BR,4.094%
0394KO,14.067%
0395BB,8.917%
0395BR,22.352%
0395KO,3.601%
0396BR,2.812%
0396KO,5.043%
0397BB,12.443%
0397BR,3.139%
0397KO,14.902%
0398BB,23.432%
0398KO,12.564%
0399BB,11.858%
0399BR,1.372%
0399KO,9.181%
0400BB,3.830%
0400BR,7.304%
0400KO,36.365%
0401BB,16.199%
0401BR,2.105%
0401KO,5.306%
0402BB,5.050%
0402BR,8.381%
0402KO,7.195%
0403BB,58.609%
0403BR,22.853%
0403KO,6.882%
0404BB,75.410%
0404KO,8.538%
0405BB,19.634%
0405BR,6.821%
0405KO,16.377%
0406BB,80.960%
0406BR,0.272%
0406KO,17.059%
0407BB,12.764%
0407BR,10.211%
0407KO,40.599%
0408BB,2.808%
0408BR,2.363%
0408KO,7.487%
0409BB,11.666%
0409BR,22.185%
0409KO,2.802%
0410BB,11.168%
0410BR,6.424%
0410KO,11.476%
0411BB,15.248%
0411BR,33.309%
0411KO,5.662%
0412BB,0.352%
0412BR,16.501%
0412KO,17.396%
0413BB,4.640%
0413BR,1.809%
0413KO,7.675%
0414BB,6.305%
0414BR,2.841%
0414KO,11.239%
0415BB,19.092%
0415BR,15.404%
0416BB,28.260%
0416BR,7.392%
0416KO,39.064%
0417BB,2.737%
0417BR,6.617%
0417KO,2.183%
0418BB,6.261%
0418BR,4.402%
0418KO,16.817%
0419BB,36.849%
0419BR,6.514%
0419KO,15.628%
0420BR,14.018%
0420KO,10.072%
0421BB,10.359%
0421KO,14.515%
0422BB,5.231%
0422BR,7.904%
0422KO,12.292%
0423BB,16.865%
0423BR,5.594%
0423KO,21.066%
0424BB,5.447%
0424KO,27.092%
0425BB,4.457%
0425BR,18.742%
0425KO,5.813%
0426BB,23.267%
0426BR,7.859%
0426KO,23.356%
0427BB,24.989%
0427BR,8.685%
0427KO,10.577%
0428BB,2.750%
0428BR,5.976%
0428KO,7.503%
0429BB,7.457%
0429BR,2.295%
0429KO,5.596%
0430BB,7.981%
0430KO,16.404%
0431BB,9.298%
0431BR,2.873%
0431KO,30.465%
0432BB,10.663%
0432BR,3.469%
0432KO,6.612%
0433BB,6.101%
0433BR,7.281%
0433KO,24.843%
0434BB,7.605%
0434BR,47.082%
0434KO,10.112%
0435BB,4.992%
0435BR,12.440%
0435KO,0.440%
0436BB,7.597%
0436BR,25.608%
0436KO,8.946%
0437BB,6.448%
0437BR,5.771%
0437KO,10.847%
0438BB,3.061%
0438BR,1.646%
0438KO,9.299%
0439BB,2.493%
0439BR,11.567%
0439KO,12.539%
0440BB,6.801%
0440BR,16.618%
0440KO,8.080%
0441BB,21.611%
0441BR,5.836%
0441KO,6.944%
0442BB,3.535%
0442BR,3.662%
0442KO,9.790%
0443BB,12.784%
0443BR,8.968%
0443KO,13.277%
0444BB,0.658%
0444BR,22.491%
0444KO,4.141%
0445BB,3.873%
0445BR,2.497%
0445KO,13.725%
0446BB,8.888%
0446BR,6.252%
0446KO,6.413%
0447BB,7.418%
0447BR,0.449%
0447KO,7.237%
0448BB,3.123%
0448BR,3.866%
0448KO,7.165%
0449BB,5.840%
0449BR,3.931%
0449KO,8.409%
0450BB,20.709%
0450BR,7.311%
0450KO,5.434%
0451BB,6.219%
0451KO,9.897%
0452BB,5.708%
0452KO,8.630%
0453BB,6.840%
0453BR,9.349%
0453KO,31.187%
0454BB,4.327%
0454BR,7.749%
0454KO,10.783%
0455BB,1.816%
0455KO,1.908%
0456BB,24.627%
0456BR,6.633%
0456KO,20.584%
0457BB,12.059%
0457BR,3.178%
0457KO,6.388%
0458BB,22.130%
0458BR,0.086%
0458KO,12.794%
0459BB,2.423%
0459BR,13.229%
0459KO,9.044%
0460BB,2.103%
0460BR,0.282%
0460KO,4.721%
0461BB,2.863%
0461BR,3.039%
0461KO,6.036%
0462BB,1.050%
0462BR,10.766%
0462KO,2.354%
0463BB,15.084%
0463BR,24.835%
0463KO,6.604%
0464BB,12.472%
0464BR,43.123%
0464KO,3.078%
0465BB,3.013%
0465BR,16.435%
0465KO,3.223%
0466BB,18.763%
0466BR,29.754%
0466KO,17.108%
0467BB,9.251%
0467BR,9.562%
0467KO,7.506%
0468BR,26.144%
0468KO,8.581%
0469BB,4.898%
0469BR,17.441%
0470BB,4.195%
0470BR,3.821%
0471BB,10.926%
0471BR,37.233%
0472BB,nan%
0472BR,7.543%
0473BB,14.793%
0473BR,19.272%
0473KO,7.771%
0474BB,7.011%
0474BR,2.452%
0474KO,27.359%
0475BB,19.325%
0475BR,10.963%
0475KO,42.929%
0476BB,1.913%
0476BR,4.487%
0476KO,17.334%
0477BB,8.911%
0477BR,10.644%
0477KO,3.419%
0478BB,8.461%
0478BR,0.797%
0478KO,9.168%
0479BB,1.584%
0479BR,2.145%
0479KO,5.757%
0480BB,8.988%
0480BR,25.172%
0480KO,24.630%
0481BR,2.219%
0481KO,32.048%
0482BB,5.871%
0482BR,8.557%
0482KO,21.584%
0483BB,11.281%
0483BR,1.514%
0483KO,11.192%
0484BB,2.745%
0484BR,8.645%
0484KO,9.012%
0485BB,21.012%
0485BR,33.198%
0485KO,4.289%
0486BB,8.879%
0486BR,2.414%
0486KO,19.641%
0487BB,10.789%
0487BR,2.834%
0487KO,24.690%
0488BB,18.005%
0488BR,14.682%
0488KO,13.075%
0489BB,10.291%
0489BR,nan%
0489KO,22.045%
0490BB,9.971%
0490BR,6.328%
0491BB,0.668%
0491BR,3.945%
0492BB,0.440%
